NC LIVE resource usage report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Vendor,20-Jan,20-Jan,20-Jan,20-Jan,20-Feb,20-Feb,20-Feb,20-Feb,20-Mar,20-Mar,20-Mar,20-Mar,20-Apr,20-Apr,20-Apr,20-Apr,20-May,20-May,20-May,20-May,20-Jun,20-Jun,20-Jun,20-Jun,20-Jul,20-Jul,20-Jul,20-Jul,20-Aug,20-Aug,20-Aug,20-Aug,20-Sep,20-Sep,20-Sep,20-Sep,20-Oct,20-Oct,20-Oct,20-Oct,20-Nov,20-Nov,20-Nov,20-Nov,20-Dec,20-Dec,20-Dec,20-Dec,21-Jan,21-Jan,21-Jan,21-Jan,Totals,Totals,Totals,Totals
Source,Vendor,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews
Psychology Database,ProQuest Company,0,568,33,36,0,"2,197",78,99,0,"1,722",115,143,0,"1,556",103,127,0,327,14,16,0,459,23,28,0,379,38,40,0,280,6,6,0,837,65,83,0,"1,535",113,133,0,"1,635",122,143,0,399,34,44,0,183,17,18,0,"12,077",761,916
Public Health Database,ProQuest Company,0,563,4,4,0,"2,211",16,21,0,"1,711",18,22,0,"1,555",12,13,0,327,4,4,0,458,2,2,0,377,0,0,0,277,0,0,0,825,1,1,0,"1,534",4,5,0,"1,634",17,20,0,401,3,4,0,184,0,0,0,"12,057",81,96
RBdigital Audiobooks,RBDigital,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
RBdigital Ebooks,RBDigital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
ReferenceUSA (now Data-Axle Reference Solutions),Data-Axle,7,0,0,0,3,7,13,13,1,7,5,5,4,0,0,0,0,0,0,0,7,52,7,7,3,16,1,1,0,0,0,0,1,6,2,2,0,0,0,0,1,1,1,1,2,2,1,1,0,0,0,0,29,91,30,30
Religion Database,ProQuest Company,0,562,12,13,0,"2,187",67,79,0,"1,711",45,48,0,"1,556",60,64,0,327,34,36,0,460,31,33,0,377,11,11,0,278,15,16,0,825,46,52,0,"1,534",62,75,0,"1,635",57,66,0,399,14,14,0,181,36,44,0,"12,032",490,551
Science Database,ProQuest Company,0,562,14,16,0,"2,209",104,109,0,"1,712",102,112,0,"1,555",77,79,0,327,9,10,0,458,9,9,0,377,15,15,0,278,2,3,0,830,14,17,0,"1,547",63,68,0,"1,639",32,34,0,399,5,6,0,184,2,3,0,"12,077",448,481
SimplyAnalytics,SimplyAnalytics,8,36,8,8,4,43,14,14,5,98,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,177,35,35
SIRS Discoverer,ProQuest Company,0,4,0,0,0,380,1,1,0,405,5,7,0,431,1,1,0,113,0,0,0,118,3,4,0,114,0,0,0,65,0,0,0,201,2,2,0,362,11,11,0,454,7,9,0,88,0,0,0,35,2,2,0,"2,770",32,37
SIRS Issues Researcher,ProQuest Company,0,31,75,76,0,419,102,105,0,448,167,167,0,470,107,107,0,133,24,24,0,141,83,85,0,114,1,1,0,65,1,1,0,209,67,67,0,408,51,51,0,566,223,224,0,195,112,115,0,37,2,2,0,"3,236","1,015","1,025"
Social Science Database,ProQuest Company,0,563,24,26,0,"2,213",139,162,0,"1,714",123,138,0,"1,555",140,163,0,335,26,30,0,459,19,21,0,377,24,27,0,279,6,6,0,824,51,61,0,"1,532",67,75,0,"1,635",91,102,0,405,31,33,0,181,15,17,0,"12,072",756,861
Sociology Database,ProQuest Company,0,570,7,7,0,"2,242",76,81,0,"1,725",21,22,0,"1,562",22,24,0,341,14,14,0,489,21,24,0,377,1,1,0,279,1,1,0,833,14,14,0,"1,532",7,9,0,"1,663",20,21,0,405,7,10,0,182,0,0,0,"12,200",211,228
Statistical Abstract of the United States,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telecommunications Database,ProQuest Company,0,563,0,0,0,"2,187",1,2,0,"1,711",4,6,0,"1,555",2,2,0,327,0,0,0,458,2,2,0,377,0,0,0,277,0,0,0,824,0,0,0,"1,532",2,2,0,"1,634",0,0,0,399,0,0,0,181,0,0,0,"12,025",11,14
Testing & Education Reference Center,Gale,68,0,17,17,52,0,15,15,37,0,3,3,6,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,7,7,3,0,3,3,0,0,0,0,0,0,0,0,182,0,46,46
Transparent Language Online,Transparent Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Turkey Database,ProQuest Company,0,562,0,0,0,"2,187",0,0,0,"1,711",0,0,0,"1,555",0,0,0,327,0,0,0,458,0,0,0,377,0,0,0,277,0,0,0,824,0,0,0,"1,532",0,0,0,"1,634",0,0,0,399,0,0,0,181,0,0,0,"12,024",0,0
Twentieth-Century African American Poetry,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,113,0,0,0,117,0,0,0,114,0,0,0,65,0,0,0,201,0,0,0,362,0,0,0,454,0,0,0,88,0,0,0,35,0,0,0,"1,980",0,0
Twentieth-Century American Poetry,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,113,0,0,0,117,0,0,0,114,0,0,0,65,0,0,0,201,0,0,0,362,0,0,0,454,1,1,0,88,0,0,0,38,4,4,0,"1,983",5,5
Twentieth-Century English Poetry,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,113,0,0,0,117,2,2,0,114,0,0,0,65,0,0,0,201,0,0,0,362,0,0,0,454,0,0,0,88,0,0,0,35,0,0,0,"1,980",2,2
UK & Ireland Database,ProQuest Company,0,562,0,0,0,"2,187",7,7,0,"1,711",7,7,0,"1,555",23,23,0,327,0,0,0,458,0,0,0,377,3,3,0,277,0,0,0,824,1,1,0,"1,532",1,1,0,"1,634",3,4,0,399,0,0,0,181,0,0,0,"12,024",45,46
US Newsstream,ProQuest Company,0,566,0,0,0,"2,188",0,0,0,"1,713",0,0,0,"1,556",0,0,0,328,0,0,0,462,0,0,0,377,0,0,0,277,0,0,0,824,0,0,0,"1,542",0,0,0,"1,659",0,0,0,402,0,0,0,184,0,0,0,"12,078",0,0
Wall Street Journal,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monthly Totals* (see federated search note),,194,"1,274","1,231","1,507",439,"4,584","4,292","5,720",189,"2,963","4,404","5,183",135,"2,248","3,531","4,027",47,592,847,"1,012",102,"1,033","1,751","1,992",40,599,801,905,18,383,267,291,114,"1,645","1,947","2,268",249,"2,851","2,789","3,516",173,"2,864","3,061","3,688",107,928,"1,073","1,354",46,422,378,512,"1,853","22,386","26,372","31,975"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on these statistics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--Data Definitions:, https://www.nclive.org/librarystaff/usage-reports/data-definitions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--Usage statistics FAQs:, https://www.nclive.org/librarystaff/usage-reports/faq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Federated search note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search totals for vendors with federated searches across multiple databases would overcount usage and totals are therefore excluded. Details by vendor:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"**ProQuest: Do not total searches across ProQuest databases. This number is the total of ""ProQuest unique searches"". This de-duplicates searches across ProQuest products.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It also includes databases which the vendor reports separately:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRS Knowledge Source Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistical Abstract of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**Bibliolabs: Home Grown search totals used as total for vendor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
