NC LIVE resource usage report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Vendor,20-Jan,20-Jan,20-Jan,20-Jan,20-Feb,20-Feb,20-Feb,20-Feb,20-Mar,20-Mar,20-Mar,20-Mar,20-Apr,20-Apr,20-Apr,20-Apr,20-May,20-May,20-May,20-May,20-Jun,20-Jun,20-Jun,20-Jun,20-Jul,20-Jul,20-Jul,20-Jul,20-Aug,20-Aug,20-Aug,20-Aug,20-Sep,20-Sep,20-Sep,20-Sep,20-Oct,20-Oct,20-Oct,20-Oct,20-Nov,20-Nov,20-Nov,20-Nov,20-Dec,20-Dec,20-Dec,20-Dec,21-Jan,21-Jan,21-Jan,21-Jan,Totals,Totals,Totals,Totals
Source,Vendor,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews
Career & Technical Education Database,ProQuest Company,0,562,0,0,0,"2,316",0,0,0,"1,736",0,0,0,"1,594",0,0,0,329,0,0,0,464,0,0,0,377,0,0,0,277,0,0,0,911,0,0,0,"1,837",0,0,0,"1,723",0,0,0,405,0,0,0,192,0,0,0,"12,723",0,0
Chadwyck-Healey (all sources),Chadwyck-Healey,6,4,3,3,11,12,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,9,9
CINAHL Plus with Full Text,EBSCOhost,13,1,3,15,30,20,21,61,42,5,26,71,22,5,15,38,6,5,5,13,10,5,6,22,5,0,3,8,0,0,0,0,3,0,5,11,40,60,37,86,63,243,73,217,49,86,39,126,0,0,0,0,283,430,233,668
Computer Science Database,ProQuest Company,0,562,0,0,0,"2,187",1,1,0,"1,763",52,73,0,"1,555",2,2,0,327,0,0,0,458,0,0,0,378,1,1,0,277,0,0,0,846,8,9,0,"1,535",7,7,0,"1,634",1,1,0,399,0,0,0,181,0,0,0,"12,102",72,94
Consumer Health Database,ProQuest Company,0,562,5,5,0,"2,190",9,12,0,"1,711",11,11,0,"1,566",19,20,0,327,6,7,0,459,1,2,0,377,2,2,0,277,0,0,0,833,29,32,0,"1,536",5,5,0,"1,649",9,12,0,405,5,6,0,184,0,0,0,"12,076",101,114
Continental Europe Database,ProQuest Company,0,564,0,0,0,"2,187",0,0,0,"1,711",0,0,0,"1,555",0,0,0,327,0,0,0,458,0,0,0,377,0,0,0,277,1,1,0,824,0,2,0,"1,532",1,1,0,"1,635",1,1,0,399,0,0,0,181,0,0,0,"12,027",3,5
CQ Magazine,CQ Press,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CQ Researcher,CQ Press,0,0,0,0,0,0,21,21,0,0,7,7,0,0,1,1,0,0,0,0,0,0,22,22,0,0,3,3,0,0,0,0,0,0,3,3,0,0,47,47,0,0,70,70,0,0,39,39,0,0,0,0,0,0,213,213
Credo Reference,Credo,18,30,31,31,68,68,149,149,27,17,39,39,22,9,40,40,7,4,10,10,32,16,51,51,10,0,13,13,6,5,12,12,22,24,32,32,43,7,72,72,22,7,28,28,6,1,5,5,5,0,5,5,288,188,487,487
Criminal Justice Database,ProQuest Company,0,568,23,27,0,"2,202",155,199,0,"1,711",77,86,0,"1,555",139,188,0,327,22,24,0,458,8,13,0,377,22,23,0,279,31,39,0,824,28,33,0,"1,532",72,98,0,"1,635",61,76,0,399,26,27,0,181,18,20,0,"12,048",682,853
Cypress Resume,Cypress,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Digital Sanborn Maps (1867-1970) for North Carolina,Sanborn Maps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Earth, Atmospheric & Aquatic Science Database",ProQuest Company,0,562,1,1,0,"2,187",2,2,0,"1,711",1,1,0,"1,556",6,6,0,327,5,5,0,458,0,0,0,377,1,1,0,277,0,0,0,824,1,1,0,"1,532",4,5,0,"1,634",0,0,0,399,0,0,0,181,0,0,0,"12,025",21,22
East & South Asia Database,ProQuest Company,0,562,0,0,0,"2,187",1,1,0,"1,711",0,0,0,"1,555",0,0,0,327,0,0,0,458,0,0,0,377,3,3,0,277,0,0,0,824,1,1,0,"1,532",0,0,0,"1,634",6,11,0,399,0,0,0,181,0,0,0,"12,024",11,16
"East Europe, Central Europe Database",ProQuest Company,0,562,4,4,0,"2,187",7,7,0,"1,711",7,7,0,"1,555",0,0,0,327,0,0,0,458,1,1,0,377,2,2,0,277,0,0,0,824,4,5,0,"1,532",0,0,0,"1,634",7,8,0,399,2,2,0,181,0,0,0,"12,024",34,36
Ebook Central Academic and Public Library Complete,ProQuest Company,0,0,49,49,0,0,183,183,0,0,181,181,0,0,324,324,0,0,72,72,0,0,300,300,0,0,77,77,0,0,33,33,0,0,192,192,0,0,209,209,0,0,234,234,0,0,129,129,0,0,31,31,0,0,"2,014","2,014"
Ebooks on EBSCOhost,EBSCOhost,33,12,17,53,78,42,47,132,36,22,23,61,39,25,25,62,28,10,17,52,22,16,13,31,9,2,5,14,7,10,4,11,20,10,11,33,35,10,23,61,40,28,23,78,31,39,20,78,38,100,33,108,416,326,261,774
Education Database,ProQuest Company,0,563,45,47,0,"2,190",318,354,0,"1,711",215,266,0,"1,559",236,255,0,327,34,34,0,459,111,131,0,377,62,66,0,279,11,11,0,827,158,167,0,"1,535",218,238,0,"1,634",269,319,0,399,76,84,0,181,32,33,0,"12,041","1,785","2,005"
eLibrary,ProQuest Company,0,138,1,7,0,387,13,17,0,405,13,14,0,432,3,3,0,114,1,1,0,117,1,2,0,114,6,9,0,66,3,3,0,203,21,26,0,366,20,26,0,461,20,31,0,88,11,13,0,35,2,3,0,"2,926",115,155
Engineering Database,ProQuest Company,0,562,1,1,0,"2,187",13,20,0,"1,711",12,14,0,"1,555",10,10,0,327,10,10,0,459,7,7,0,377,1,2,0,277,0,0,0,824,8,10,0,"1,533",14,20,0,"1,634",4,8,0,399,2,2,0,181,0,0,0,"12,026",82,104
English Poetry,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,113,0,0,0,117,3,4,0,114,0,0,0,65,0,0,0,202,2,3,0,362,0,0,0,454,1,1,0,88,0,0,0,35,0,0,0,"1,955",6,8
Entrepreneurship Database,ProQuest Company,0,138,0,0,0,379,0,0,0,404,0,0,0,431,3,3,0,113,2,3,0,117,0,0,0,114,2,2,0,65,0,0,0,201,2,2,0,362,4,5,0,454,1,1,0,88,2,2,0,35,0,0,0,"2,901",16,18
Faber Poetry Library,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,113,0,0,0,117,0,0,0,114,0,0,0,65,0,0,0,201,0,0,0,363,0,0,0,454,0,0,0,88,0,0,0,35,0,0,0,"1,981",0,0
Ferguson's Career Guidance Center,Infobase,0,0,0,0,0,562,454,820,0,104,86,172,0,50,56,110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,85,85,0,0,0,0,0,0,0,0,0,6,5,5,0,3,3,3,0,814,690,"1,196"
Films on Demand Video Collection,Infobase,0,146,198,258,0,230,196,258,0,312,352,422,0,86,94,116,0,92,96,149,0,125,96,147,0,55,68,102,0,21,6,6,0,142,164,164,0,72,98,98,0,72,98,98,0,86,55,115,0,32,47,70,0,"1,471","1,568","2,003"
Gale Ebooks,Gale,0,103,3,3,0,102,1,1,0,18,0,0,0,44,3,3,0,1,0,0,0,10,0,0,0,7,0,0,0,0,2,2,0,0,0,0,0,0,6,6,0,10,4,4,0,0,0,0,0,0,0,0,0,295,19,19
Gale in Context: Biography,Gale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,3,2,2
Gale in Context: Science,Gale,0,14,9,9,0,10,19,19,0,0,11,11,0,13,11,11,0,4,11,11,0,16,22,22,0,0,0,0,0,15,5,5,0,0,6,6,0,6,4,4,0,3,15,15,0,0,3,3,0,0,0,0,0,81,116,116
Gale Literary Sources,Gale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gale Literature Resource Center,Gale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,0,5,8,8
Global Breaking Newswires,ProQuest Company,0,562,1,2,0,"2,187",6,9,0,"1,711",5,5,0,"1,555",6,6,0,327,0,0,0,458,0,0,0,377,7,8,0,277,1,1,0,824,0,0,0,"1,532",1,1,0,"1,634",2,2,0,399,2,2,0,181,0,0,0,"12,024",31,36
Health & Medical Collection,ProQuest Company,0,565,246,257,0,"2,211",722,813,0,"1,723","1,600","1,800",0,"1,557","1,113","1,224",0,335,271,286,0,459,368,398,0,379,185,200,0,278,41,44,0,826,236,258,0,"1,538",751,874,0,"1,639",738,830,0,400,121,127,0,185,55,64,0,"12,095","6,447","7,175"
Healthcare Administration Database,ProQuest Company,0,563,1,1,0,"2,200",4,4,0,"1,711",9,9,0,"1,557",3,3,0,327,0,0,0,458,5,5,0,377,0,0,0,278,0,0,0,826,2,2,0,"1,535",12,12,0,"1,634",10,15,0,399,0,0,0,184,0,0,0,"12,049",46,51
HeritageQuest,HeritageQuest,0,0,0,0,3,193,58,58,0,0,0,0,0,0,0,0,0,0,0,0,1,89,232,232,0,0,0,0,1,26,3,3,2,10,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,319,296,296
Historic North Carolina Digital Newspaper Collection,ProQuest Company,0,22,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,16
HomeGrown Ebooks Collection,BiblioLabs,0,0,0,1,0,7,9,19,0,4,18,41,0,4,8,23,0,0,1,4,0,9,1,4,0,0,1,3,0,0,0,0,0,36,13,62,0,11,12,28,0,33,14,52,0,3,1,3,0,1,0,3,0,108,78,243
hoopla Audiobooks,Midwest Tapes (hoopla),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
